url,job_title,tech_stack,language_req,is_manager,work_method,contract_type,salary_min,salary_max,exp_years,location,job_level,source,company_name,education_level,is_shift_work,job_category
https://itviec.com/it-jobs/middle-senior-backend-developer-go-java-devops-yoong-2439,"Middle/Senior Backend Developer Go, Java, DevOps","Jenkins, Microsoft Teams, Go, Docker, Scala, Python, SQL, .NET, Kubernetes, Java",0,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,YOONG,Unknown,0,System/DevOps/Security
https://itviec.com/it-jobs/it-operation-engineer-devops-aws-system-admin-grapecity-5019,IT Operation Engineer DevOps/AWS/System Admin,"Jira, Microsoft Teams, AWS, Microsoft Azure, Confluence, SharePoint",1,0,Onsite,Full-time,,,2.0,Hà Nội,2.0,itviec,GRAPECITY,Unknown,0,System/DevOps/Security
https://itviec.com/it-jobs/senior-business-analyst-agile-e-commerce-agri-tech-mymind-0158,"Senior Business Analyst Agile, E-commerce, Agri-Tech","Make, Backlog",1,0,Onsite,Full-time,,,3.0,Hồ Chí Minh,3.0,itviec,MYMIND,Unknown,0,Business Analyst
https://itviec.com/it-jobs/middle-backend-developer-nodejs-nestjs-expressjs-eazylab-vietnam-1256,"Middle Backend Developer NodeJS, NestJS, ExpressJS","Shopify, Cloudflare, JWT, NestJS, JavaScript, Haravan, GitHub, Next.js, OAuth2, Docker, Express.js, MySQL, React, PostgreSQL, RabbitMQ, AWS, Linux, Kafka, REST API, Node.js, GitHub Actions, TypeScript, GraphQL, Redis",0,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,EAZYLAB VIETNAM,Unknown,0,Backend Developer
https://itviec.com/it-jobs/business-analyst-ai-big-data-agile-globaltech-4901,"Business Analyst AI, Big Data, Agile",Adobe Illustrator,1,0,Onsite,Full-time,,,2.0,Hồ Chí Minh,2.0,itviec,GLOBALTECH,Unknown,0,Data & AI
https://www.vietnamworks.com/software-engineering-manager-c-net-azure-2007123-jv?source=searchResults&searchType=2&placement=2007323&sortBy=date&qs=0,"Software Engineering Manager (C#, .Net, Azure)","C#, C, Microsoft Teams, .NET",0,1,Onsite,Full-time,,,8.0,Hồ Chí Minh,4.0,vietnamworks,MITEK VIỆT NAM,Unknown,0,Management/Architect
https://www.vietnamworks.com/tu-van-trien-khai-nghiep-vuerp-consultant-biet-tieng-trung-luong-upto-25tr-2007126-jv?source=searchResults&searchType=2&placement=2007326&sortBy=date&qs=0,Tư vấn triển khai nghiệp vụ/ERP Consultant biết Tiếng Trung (Lương upto 25tr),"SQL, C, SQL Server",0,0,Onsite,Full-time,15.0,25.0,3.0,Hồ Chí Minh,2.0,vietnamworks,CÔNG TY TNHH CÔNG NGHỆ YOCO,Unknown,0,Data & AI
https://www.vietnamworks.com/mobile-gamification-uiux-designer-fintech-2002663-jv?source=searchResults&searchType=2&placement=2002863&sortBy=date&qs=0,Mobile Gamification UI/UX Designer (Fintech),"Microsoft Teams, Figma",0,0,Onsite,Full-time,,,5.0,"['Hà Nội', 'Hồ Chí Minh']",2.0,vietnamworks,VIETPAY CORPORATION,Unknown,0,Designer
https://itviec.com/it-jobs/software-engineer-ruby-on-rails-php-nodejs-aws-giftee-tech-vietnam-0735,Fullstack Developer Ruby on Rails/ PHP/ AWS/ English,"PHP, GitHub, Microsoft Teams, Ansible, AWS, Ruby on Rails, Docker, MySQL, GitHub Actions, Terraform, Git, Notion, Ruby, CircleCI, Slack, Redis",1,0,Onsite,Full-time,25.0,75.0,2.0,Hồ Chí Minh,2.0,itviec,GIFTEE TECH VIETNAM,Unknown,0,Backend Developer
https://www.vietnamworks.com/implementation-consultant-project-management-ba-good-english-2003494-jv?source=searchResults&searchType=2&placement=2003644&sortBy=date&qs=0,"Implementation Consultant (Project Management, BA, Good English)","Microsoft Teams, Go",0,0,Onsite,Full-time,,,1.0,Hồ Chí Minh,2.0,vietnamworks,"TRUECOMMERCE VIETNAM COMPANY, LIMITED",Unknown,0,Business Analyst
